Membership No	Year	Bundle Name	On Trial	Trial Expiration Date	Amount
1048488	2013	BLOOD-ONLY	N		1100
1048488	2014	BLOOD-ONLY	N		1100
1048488	2015	BLOOD-ONLY	N		1100
1048488	2016	BLOOD-ONLY	N		1100
1049302	2013	BLOOD-ONLY	N		1100
1049302	2014	BLOOD-ONLY	N		1100
1049302	2015	BLOOD-ONLY	N		1100
1049302	2016	BLOOD-ONLY	N		1100
1047605	2013	BLOOD-ONLY	N		1100
1047605	2014	BLOOD-ONLY	N		1100
1047605	2015	BLOOD-ONLY	N		1100
1047605	2016	BLOOD-ONLY	N		1100
1051861	2013	BLOOD-ARCHIVE-ONLY	N		750
1051861	2014	BLOOD-ARCHIVE-ONLY	N		750
1051861	2015	BLOOD-ARCHIVE-ONLY	N		750
1051861	2016	BLOOD-ARCHIVE-ONLY	N		750
1050013	2013	ASH-ALL	N		1500
1050013	2014	ASH-ALL	N		1500
1050013	2015	ASH-ALL	N		1500
1050013	2016	ASH-ALL	N		1500
1047700	2013	BLOOD-ONLY	N		1100
1047700	2014	BLOOD-ONLY	N		1100
1047700	2015	BLOOD-ONLY	N		1100
1047700	2016	BLOOD-ONLY	N		1100
1051956	2013	BLOOD-ARCHIVE-ONLY	N		750
1051956	2014	BLOOD-ARCHIVE-ONLY	N		750
1051956	2015	BLOOD-ARCHIVE-ONLY	N		750
1051956	2016	BLOOD-ARCHIVE-ONLY	N		750
1047627	2013	ASH-ALL	N		1500
1047627	2014	ASH-ALL	N		1500
1047627	2015	ASH-ALL	N		1500
1047627	2016	ASH-ALL	N		1500
1046235	2013	ASH-ALL	N		1500
1046235	2014	ASH-ALL	N		1500
1046235	2015	ASH-ALL	N		1500
1046235	2016	ASH-ALL	N		1500
1051706	2013	BLOOD-ARCHIVE-ONLY	N		750
1051706	2014	BLOOD-ARCHIVE-ONLY	N		750
1051706	2015	BLOOD-ARCHIVE-ONLY	N		750
1051706	2016	BLOOD-ARCHIVE-ONLY	N		750
1300809	2014	BLOOD-ARCHIVE-ONLY	N		750
1300809	2015	BLOOD-ARCHIVE-ONLY	N		750
1300809	2016	BLOOD-ARCHIVE-ONLY	N		750
1051010	2013	BLOOD-ONLY	N		1100
1051010	2014	BLOOD-ONLY	N		1100
1051010	2015	BLOOD-ONLY	N		1100
1051010	2016	BLOOD-ONLY	N		1100
1050587	2013	ASH-ALL	N		1500
1050587	2014	ASH-ALL	N		1500
1050587	2015	ASH-ALL	N		1500
1050587	2016	ASH-ALL	N		1500
1048834	2013	ASH-ALL	N		1500
1048834	2014	ASH-ALL	N		1500
1048834	2015	ASH-ALL	N		1500
1048834	2016	ASH-ALL	N		1500
1048831	2013	BLOOD-ONLY	N		1100
1048831	2014	BLOOD-ONLY	N		1100
1048831	2015	BLOOD-ONLY	N		1100
1048831	2016	BLOOD-ONLY	N		1100
1051428	2013	BLOOD-ONLY	N		1100
1051428	2014	BLOOD-ONLY	N		1100
1051428	2015	BLOOD-ONLY	N		1100
1051428	2016	BLOOD-ONLY	N		1100
1049082	2013	BLOOD-ONLY	N		1100
1049082	2014	BLOOD-ONLY	N		1100
1049082	2015	BLOOD-ONLY	N		1100
1049082	2016	BLOOD-ONLY	N		1100
1047692	2013	BLOOD-ARCHIVE-ONLY	N		750
1047692	2014	BLOOD-ARCHIVE-ONLY	N		750
1047692	2015	BLOOD-ARCHIVE-ONLY	N		750
1047692	2016	BLOOD-ARCHIVE-ONLY	N		750
1050921	2013	ASH-ALL	N		1500
1050921	2014	ASH-ALL	N		1500
1050921	2015	ASH-ALL	N		1500
1050921	2016	ASH-ALL	N		1500
1051108	2013	ASH-ALL	N		1500
1051108	2014	ASH-ALL	N		1500
1051108	2015	ASH-ALL	N		1500
1051108	2016	ASH-ALL	N		1500
1050762	2013	ASH-ALL	N		1500
1050762	2014	ASH-ALL	N		1500
1050762	2015	ASH-ALL	N		1500
1050762	2016	ASH-ALL	N		1500
1048843	2013	ASH-ALL	N		1500
1048843	2014	ASH-ALL	N		1500
1048843	2015	ASH-ALL	N		1500
1048843	2016	ASH-ALL	N		1500
1047775	2013	ASH-ALL	N		1500
1047775	2014	ASH-ALL	N		1500
1047775	2015	ASH-ALL	N		1500
1047775	2016	ASH-ALL	N		1500
1051330	2013	BLOOD-ONLY	N		1100
1051330	2014	BLOOD-ONLY	N		1100
1051330	2015	BLOOD-ONLY	N		1100
1051330	2016	BLOOD-ONLY	N		1100
1051129	2013	ASH-ALL	N		1500
1051129	2014	ASH-ALL	N		1500
1051129	2015	ASH-ALL	N		1500
1051129	2016	ASH-ALL	N		1500
1047660	2013	ASH-ALL	N		1500
1047660	2014	ASH-ALL	N		1500
1047660	2015	ASH-ALL	N		1500
1047660	2016	ASH-ALL	N		1500
1048533	2013	BLOOD-ONLY	N		1100
1048533	2014	BLOOD-ONLY	N		1100
1048533	2015	BLOOD-ONLY	N		1100
1048533	2016	BLOOD-ONLY	N		1100
1050045	2013	BLOOD-ARCHIVE-ONLY	N		750
1050045	2014	BLOOD-ARCHIVE-ONLY	N		750
1050045	2015	BLOOD-ARCHIVE-ONLY	N		750
1050045	2016	BLOOD-ARCHIVE-ONLY	N		750
1047743	2013	BLOOD-ARCHIVE-ONLY	N		750
1047743	2014	BLOOD-ARCHIVE-ONLY	N		750
1047743	2015	BLOOD-ARCHIVE-ONLY	N		750
1047743	2016	BLOOD-ARCHIVE-ONLY	N		750
1051082	2013	ASH-ALL	N		1500
1051082	2014	ASH-ALL	N		1500
1051082	2015	ASH-ALL	N		1500
1051082	2016	ASH-ALL	N		1500
1051496	2013	BLOOD-ARCHIVE-ONLY	N		750
1051496	2014	BLOOD-ARCHIVE-ONLY	N		750
1051496	2015	BLOOD-ARCHIVE-ONLY	N		750
1051496	2016	BLOOD-ARCHIVE-ONLY	N		750
1054826	2013	BLOOD-ARCHIVE-ONLY	N		750
1054826	2014	BLOOD-ARCHIVE-ONLY	N		750
1054826	2015	BLOOD-ARCHIVE-ONLY	N		750
1054826	2016	BLOOD-ARCHIVE-ONLY	N		750
1052245	2013	BLOOD-ONLY	N		1100
1052245	2014	BLOOD-ONLY	N		1100
1052245	2015	BLOOD-ONLY	N		1100
1052245	2016	BLOOD-ONLY	N		1100
1049292	2013	BLOOD-ARCHIVE-ONLY	N		750
1049292	2014	BLOOD-ARCHIVE-ONLY	N		750
1049292	2015	BLOOD-ARCHIVE-ONLY	N		750
1049292	2016	BLOOD-ARCHIVE-ONLY	N		750
1050712	2013	BLOOD-ONLY	N		1100
1050712	2014	BLOOD-ONLY	N		1100
1050712	2015	BLOOD-ONLY	N		1100
1050712	2016	BLOOD-ONLY	N		1100
1047694	2013	ASH-ALL	N		1500
1047694	2014	ASH-ALL	N		1500
1047694	2015	ASH-ALL	N		1500
1047694	2016	ASH-ALL	N		1500
1050466	2013	BLOOD-ONLY	N		1100
1050466	2014	BLOOD-ONLY	N		1100
1050466	2015	BLOOD-ONLY	N		1100
1050466	2016	BLOOD-ONLY	N		1100
1051707	2013	BLOOD-ONLY	N		1100
1051707	2014	BLOOD-ONLY	N		1100
1051707	2015	BLOOD-ONLY	N		1100
1051707	2016	BLOOD-ONLY	N		1100
1051593	2013	ASH-ALL	N		1500
1051593	2014	ASH-ALL	N		1500
1051593	2015	ASH-ALL	N		1500
1051593	2016	ASH-ALL	N		1500
1051446	2013	BLOOD-ONLY	N		1100
1051446	2014	BLOOD-ONLY	N		1100
1051446	2015	BLOOD-ONLY	N		1100
1051446	2016	BLOOD-ONLY	N		1100
1049787	2013	ASH-ALL	N		1500
1049787	2014	ASH-ALL	N		1500
1049787	2015	ASH-ALL	N		1500
1049787	2016	ASH-ALL	N		1500
1047566	2013	ASH-ALL	N		1500
1047566	2014	ASH-ALL	N		1500
1047566	2015	ASH-ALL	N		1500
1047566	2016	ASH-ALL	N		1500
1051637	2013	BLOOD-ARCHIVE-ONLY	N		750
1051637	2014	BLOOD-ARCHIVE-ONLY	N		750
1051637	2015	BLOOD-ARCHIVE-ONLY	N		750
1051637	2016	BLOOD-ARCHIVE-ONLY	N		750
1052079	2013	ASH-ALL	N		1500
1052079	2014	ASH-ALL	N		1500
1052079	2015	ASH-ALL	N		1500
1052079	2016	ASH-ALL	N		1500
1050979	2013	ASH-ALL	N		1500
1050979	2014	ASH-ALL	N		1500
1050979	2015	ASH-ALL	N		1500
1050979	2016	ASH-ALL	N		1500
1047531	2013	BLOOD-ONLY	N		1100
1047531	2014	BLOOD-ONLY	N		1100
1047531	2015	BLOOD-ONLY	N		1100
1047531	2016	BLOOD-ONLY	N		1100
1047760	2013	ASH-ALL	N		1500
1047760	2014	ASH-ALL	N		1500
1047760	2015	ASH-ALL	N		1500
1047760	2016	ASH-ALL	N		1500
1051599	2013	BLOOD-ARCHIVE-ONLY	N		750
1051599	2014	BLOOD-ARCHIVE-ONLY	N		750
1051599	2015	BLOOD-ARCHIVE-ONLY	N		750
1051599	2016	BLOOD-ARCHIVE-ONLY	N		750
1048848	2013	ASH-ALL	N		1500
1048848	2014	ASH-ALL	N		1500
1048848	2015	ASH-ALL	N		1500
1048848	2016	ASH-ALL	N		1500
1050283	2013	BLOOD-ONLY	N		1100
1050283	2014	BLOOD-ONLY	N		1100
1050283	2015	BLOOD-ONLY	N		1100
1050283	2016	BLOOD-ONLY	N		1100
1047669	2013	BLOOD-ARCHIVE-ONLY	N		750
1047669	2014	BLOOD-ARCHIVE-ONLY	N		750
1047669	2015	BLOOD-ARCHIVE-ONLY	N		750
1047669	2016	BLOOD-ARCHIVE-ONLY	N		750
1051693	2013	ASH-ALL	N		1500
1051693	2014	ASH-ALL	N		1500
1051693	2015	ASH-ALL	N		1500
1051693	2016	ASH-ALL	N		1500
1051499	2013	BLOOD-ARCHIVE-ONLY	N		750
1051499	2014	BLOOD-ARCHIVE-ONLY	N		750
1051499	2015	BLOOD-ARCHIVE-ONLY	N		750
1051499	2016	BLOOD-ARCHIVE-ONLY	N		750
1048595	2013	ASH-ALL	N		1500
1048595	2014	ASH-ALL	N		1500
1048595	2015	ASH-ALL	N		1500
1048595	2016	ASH-ALL	N		1500
1047702	2013	BLOOD-ARCHIVE-ONLY	N		750
1047702	2014	BLOOD-ARCHIVE-ONLY	N		750
1047702	2015	BLOOD-ARCHIVE-ONLY	N		750
1047702	2016	BLOOD-ARCHIVE-ONLY	N		750
1056804	2013	BLOOD-ARCHIVE-ONLY	N		750
1056804	2014	BLOOD-ARCHIVE-ONLY	N		750
1056804	2015	BLOOD-ARCHIVE-ONLY	N		750
1056804	2016	BLOOD-ARCHIVE-ONLY	N		750
1050552	2013	BLOOD-ONLY	N		1100
1050552	2014	BLOOD-ONLY	N		1100
1050552	2015	BLOOD-ONLY	N		1100
1050552	2016	BLOOD-ONLY	N		1100
1050432	2013	BLOOD-ARCHIVE-ONLY	N		750
1050432	2014	BLOOD-ARCHIVE-ONLY	N		750
1050432	2015	BLOOD-ARCHIVE-ONLY	N		750
1050432	2016	BLOOD-ARCHIVE-ONLY	N		750
1048663	2013	BLOOD-ONLY	N		1100
1048663	2014	BLOOD-ONLY	N		1100
1048663	2015	BLOOD-ONLY	N		1100
1048663	2016	BLOOD-ONLY	N		1100
147520	2013	BLOOD-ONLY	N		1100
147520	2014	BLOOD-ONLY	N		1100
147520	2015	BLOOD-ONLY	N		1100
147520	2016	BLOOD-ONLY	N		1100
1046297	2013	BLOOD-ONLY	N		1100
1046297	2014	BLOOD-ONLY	N		1100
1046297	2015	BLOOD-ONLY	N		1100
1046297	2016	BLOOD-ONLY	N		1100
1050430	2013	BLOOD-ARCHIVE-ONLY	N		750
1050430	2014	BLOOD-ARCHIVE-ONLY	N		750
1050430	2015	BLOOD-ARCHIVE-ONLY	N		750
1050430	2016	BLOOD-ARCHIVE-ONLY	N		750
154071	2013	BLOOD-ONLY	N		1100
154071	2014	BLOOD-ONLY	N		1100
154071	2015	BLOOD-ONLY	N		1100
154071	2016	BLOOD-ONLY	N		1100
1048812	2013	BLOOD-ONLY	N		1100
1048812	2014	BLOOD-ONLY	N		1100
1048812	2015	BLOOD-ONLY	N		1100
1048812	2016	BLOOD-ONLY	N		1100
1051448	2013	ASH-ALL	N		1500
1051448	2014	ASH-ALL	N		1500
1051448	2015	ASH-ALL	N		1500
1051448	2016	ASH-ALL	N		1500
1049971	2013	ASH-ALL	N		1500
1049971	2014	ASH-ALL	N		1500
1049971	2015	ASH-ALL	N		1500
1049971	2016	ASH-ALL	N		1500
1062565	2013	BLOOD-ONLY	N		1100
1062565	2014	BLOOD-ONLY	N		1100
1062565	2015	BLOOD-ONLY	N		1100
1062565	2016	BLOOD-ONLY	N		1100
1048311	2013	ASH-ALL	N		1500
1048311	2014	ASH-ALL	N		1500
1048311	2015	ASH-ALL	N		1500
1048311	2016	ASH-ALL	N		1500
1050453	2013	ASH-ALL	N		1500
1050453	2014	ASH-ALL	N		1500
1050453	2015	ASH-ALL	N		1500
1050453	2016	ASH-ALL	N		1500
1047667	2013	BLOOD-ARCHIVE-ONLY	N		750
1047667	2014	BLOOD-ARCHIVE-ONLY	N		750
1047667	2015	BLOOD-ARCHIVE-ONLY	N		750
1047667	2016	BLOOD-ARCHIVE-ONLY	N		750
1051600	2013	BLOOD-ARCHIVE-ONLY	N		750
